  -535,  -991,   860
    91, -1018,   466
  1795,  -542,   750
  2228,  -647,   733
   862,  -909,   475
  -777,  -742,  1261
 -4412,    85,  1495
 -2310,  -351,  1381
  -101,  -804,   422
   634,  -772,   866
  2415,  -266,  1024
  2281,  -553,   601
   -24,  -764,  1069
 -2819,  -280,  1535
 -3871,   142,   488
  -494, -1132,   963
  1551,  -700,   697
  2626,  -357,  1404
  1165,  -811,   374
  -718,  -516,   683
 -4470,   559,  1526
 -1801,  -528,  1370
   491,  -947,   472
  2368,  -448,  1124
  2064,  -854,   992
   -30,  -761,   614
 -2479,   247,  1151
 -3541,   415,  1332
  -835,  -800,   871
  1333,  -805,   443
  3087,  -622,  1248
   527,  -904,   635
 -1617,   157,  1165
 -4134,   622,  1337
 -1016,  -584,  1076
   886,  -761,   541
  3502,  -478,  1085
   591, -1105,   467
 -1535,    77,  1074
 -4961,   631,  1305
 -1265, -1047,  1252
  1758,  -794,   405
  3480,  -872,  1225
   256,  -858,   691
 -2341,   298,   838
 -4041,   513,  1352
  -446,  -990,   522
  2895,  -821,   240
  1961, -1219,  1167
  -555,  -571,   854
 -4865,   391,  1277
 -1968,  -974,  1781
  1550,  -791,   -42
  3091,  -349,   819
   128,  -718,   545
 -3014,  1004,  1437
 -3299,   -80,  1425
  1147,  -727,   618
  3078,  -514,   297
   417,  -844,   138
 -1098,   435,  2230
 -1527,   661,  2084
 -1029,  -110,   635
  -392,  -673, -1684
   -10,  -611,  -913
  1275,  -755,  2037
 -2589,   744,  3789
  -655,  -270,   730
  2031,  -211,  -306
  1633,  -812,  -370
  -480,  -210,  1211
 -3750,   628,  2159
 -1984,  -194,  1537
   825,  -691,    55
  1309,  -342,   157
   642,  -525,  -639
  -691,    60,  1790
 -2451,  1187,  3364
  -722,  -172,   682
   548,  -366,   312
  2497,  -232,   140
   550,  -868,   339
 -1236,    50,  1176
 -3558,  1000,  1834
 -1508,  -485,  1148
   801,  -545,   -85
  2491,  -451,   907
   900, -1279,   519
 -1628,   -38,  1437
 -4540,   649,  1505
  -884,  -903,  1241
  1805,  -585,    65
  2917, -1144,  1299
  -347,  -887,   506
 -2956,   744,  1087
 -3154,   120,  1793
    21, -1105,   419
  2780,  -607,   247
  1638, -1362,  1005
  -620,  -647,  1056
 -3665,   665,   999
 -2420,  -437,  1828
   472, -1238,   552
  4012,  -568,    35
   364, -1179,   924
 -1702,    65,  1076
 -4180,   463,  1165
 -1231,  -863,  1391
  1505,  -762,   -58
  3003,  -540,   875
  -423,  -431,   982
 -2547,   779,  1244
 -2692,   216,  1242
    -5,  -828,   397
  2831,  -501,   459
   569,  -675,   867
 -1514,   549,  1172
 -2707,   564,  1051
    14,  -454,   478
  2735,  -400,   704
   442,  -682,   552
 -1375,   688,  1009
 -2031,   531,  1121
    28,    41,   630
  1512,  -187,   589
   738,  -375,   679
 -1025,   518,  1212
 -2619,   290,  1248
   -35,  -307,   488
  2192,  -361,   788
  1020,  -669,   457
  -740,    85,   912
 -2794,   522,  1372
  -963,    -7,  1029
   920,  -401,   406
  2138,  -528,   624
   113,  -302,   641
 -2081,   706,  1291
 -2137,   335,  1284
  -105,  -231,   718
  1596,  -313,   474
  1200,  -574,   354
  -680,   139,  1014
 -2722,   518,  1379
 -1012,   -46,  1047
   694,  -297,   412
  2311,  -410,   382
   187,  -406,   522
 -2028,   625,  1188
 -2377,   501,  1300
    84,  -372,   821
  2372,  -411,   598
   580,  -751,   261
 -1374,   381,   848
 -2834,   533,  1199
  -497,  -237,   978
  1594,  -195,   410
  1170,  -474,   473
  -491,   152,   841
 -2697,   660,  1354
  -970,   -80,   956
   959,  -235,   431
  2019,  -414,   674
   152,  -423,   530
 -2062,   804,  1367
 -2230,   435,  1206
  -352,  -293,   691
  1787,  -263,   611
  1231,  -644,   398
  -389,    52,   820
 -2831,   431,  1118
 -1926,   -80,  1182
   162,  -754,   672
  3141,  -387,  1122
  1120,  -984,   770
  -617,  -339,   482
 -3982,   574,  1565
 -2187,  -535,  1544
   811, -1177,   435
  4142,  -625,   985
   124, -1297,   315
 -1883,   145,   748
 -4330,   881,  2096
  -755, -1293,  1586
  2552,  -357,   140
  1661, -1047,    88
  -196,  -867,   472
 -1985,   662,  1789
 -2931,   617,  2265
  -372,  -593,   664
  1598,  -801,   206
  3114, -1122,   705
  -346,  -885,   632
 -2051,   714,   874
 -4011,   492,  1302
  -850,  -783,  1312
   552, -1203,   231
  4035,  -324,   852
   635, -1284,  1275
 -1247,  -514,   687
 -4310,   600,  1285
 -2295,  -520,  2000
   578, -1155,   388
  3501,  -307,   414
  1015,  -991,   988
  -654,  -712,  1022
 -3604,   664,   722
 -2269,  -115,  1272
   668,  -458,  1274
  3182,  -381,  -161
   602, -1154,   322
 -1165,  -112,  1021
 -4465,   561,  1541
  -953,  -669,   951
   475,  -703,   145
  2620,  -242,   647
   740,  -631,   894
 -1463,   531,  1105
 -2962,   531,   867
  -799,  -323,   984
  1022,  -239,   376
  1997,  -272,   919
    15,  -329,   754
 -1619,   522,   928
 -2734,   414,   862
  -645,  -180,   681
   707,  -296,   572
  1999,  -161,  1293
   324,  -464,   776
 -1244,   427,   633
 -2601,   560,   754
 -1121,     4,   901
   368,  -265,   743
  1988,   -75,  1075
   562,  -346,   615
 -1068,   440,   748
 -1981,   582,   851
  -961,   245,   928
   198,   -21,   650
  1270,   -36,   845
   620,  -265,   614
  -855,   289,   690
 -1674,   476,   900
  -718,   327,   997
  -138,    69,   661
   842,   -66,   716
   503,  -100,   674
  -961,   477,   825
 -1568,   510,   825
  -337,   209,   800
   441,    51,   636
  1054,   -63,   690
   297,  -188,   657
  -728,   315,   867
 -2207,   466,   982
 -1491,   111,   806
  -278,  -266,   687
   877,  -226,   610
  1598,  -219,   927
   917,  -531,   620
  -225,  -445,  1085
 -1898,   199,  1087
 -2942,   376,  1035
 -1627,  -452,   901
  -515,  -728,   785
   583,  -894,   477
  1829,  -341,   924
  2208,  -604,   665
   273,  -706,   956
  -601,  -711,  1262
 -2482,   -83,  1063
 -3080,   376,   519
 -1581,  -664,  1425
  -278,  -952,   584
    94,  -913,   793
  1718,  -495,   534
  2796,  -264,   859
   820,  -701,   816
  -141, -1017,   734
 -1668,  -391,  1544
 -3638,   588,   858
 -1948,  -475,  1486
  -162,  -667,   677
   315,  -674,   741
  2041,  -150,   829
  2358,  -464,   824
   138,  -905,   688
 -1031,  -283,  1540
